[10362,1549.6]
[10623,1336.95]
[10817,10952.845]
[11033,3232.8]
[10462,156.00000000000003]
[10703,2545.0]
[10914,537.5]
[10708,180.4]
[10798,446.6]
[10862,581.0]
[11025,270.0]
[10468,717.6]
[10745,4529.8]
[10768,1477.0]
[10395,2122.92]
[10527,1503.0]
[10567,2519.0]
[10632,589.0]
[10788,731.5]
[10815,40.0]
[10840,211.2]
[10257,1119.9]
[10264,695.625]
[10416,720.0]
[10597,718.08]
[10786,1531.0800000000002]
[10605,4109.7]
[10611,808.0]
[10882,892.64]
[11014,243.18]
[10267,3536.6]
[10366,136.0]
[10443,517.4399999999999]
[10530,4180.0]
[10532,796.35]
[10558,2142.9]
[10947,220.0]
[11024,1966.81]
[10293,848.7]
[10303,1117.8000000000002]
[10435,631.6]
[10912,6200.55]
[10715,1296.0]
[10898,30.0]
[11059,1838.0]
[10290,2169.0]
[10334,144.8]
[10371,72.96]
[11057,45.0]
[10626,1503.6]
[10272,1456.0]
[10422,49.8]
[10587,807.38]
[10727,1624.5]
[10994,940.5]
[11072,5218.0]
[10254,556.6199999999999]
[10295,121.6]
[10345,2924.8]
[10414,224.82999999999998]
[10502,816.3]
[10651,397.8]
[10979,4813.5]
[10449,1838.2]
[10506,415.8]
[10580,1013.7449999999999]
[10680,1261.875]
[10354,568.8]
[10866,1096.1999999999998]
[11041,1773.0]
[10445,174.9]
[10544,417.2]
[10640,708.75]
[10654,601.83]
[10739,240.0]
[10861,3523.4]
[10910,452.9]
[10565,639.9]
[10732,360.0]
[10881,150.0]
[10487,889.7]
[10529,946.0]
[11076,792.75]
[10252,3597.9]
[10309,1762.0]
[10950,110.0]
[10368,1689.78]
[10800,1468.935]
[10276,420.0]
[10539,355.5]
[10251,654.06]
[10285,1743.36]
[10570,2465.25]
[10845,3812.7]
[10864,282.0]
[10535,1940.85]
[10728,1296.75]
[10913,768.75]
[10415,102.4]
[10600,479.8]
[10684,1768.0]
[10760,2917.0]
[10433,851.1999999999999]
[10747,1912.85]
[10776,6635.275]
[10823,2826.0]
[10469,956.675]
[10671,920.1]
[10358,429.4]
[10635,1326.225]
[10668,625.275]
[10683,63.0]
[10982,1014.0]
[11026,1030.0]
[10286,3016.0]
[10495,278.0]
[10269,642.1999999999999]
[10409,319.20000000000005]
[10648,372.375]
[10779,1335.0]
[10310,336.0]
[10344,2296.0]
[10281,86.5]
[10885,1209.0]
[10889,11380.0]
[10336,285.12]
[10410,802.0]
[10421,1194.2700000000002]
[10604,230.85000000000002]
[10664,1288.3875]
[10903,932.05]
[10342,1840.64]
[10352,136.3]
[10377,863.5999999999999]
[10518,4150.05]
[10589,72.0]
[10311,268.79999999999995]
[10346,1618.88]
[10480,756.0]
[10586,23.8]
[10774,868.75]
[10962,3584.0]
[10984,1809.75]
[10583,2237.5]
[10932,1788.6299999999999]
[10463,713.3]
[10869,1630.0]
[10871,1979.23]
[10348,363.6]
[10514,8623.45]
[10613,353.2]
[10650,1779.1999999999998]
[10792,399.85]
[11023,1500.0]
[10376,399.0]
[10666,4666.9400000000005]
[10953,4441.25]
[10966,1098.4599999999998]
[10407,1194.0]
[10485,1584.0]
[10900,33.75]
[11050,810.0]
[10318,240.4]
[10540,10191.7]
[10556,835.1999999999999]
[10697,805.425]
[10791,1829.757]
[10894,2753.1]
[10948,2362.25]
[10975,717.5]
[11001,2769.0]
[10294,1887.6000000000001]
[10304,954.4]
[10461,1538.7]
[10497,1380.6]
[10572,1501.0849999999998]
[10639,500.0]
[10663,1930.4]
[10928,137.5]
[10326,982.0]
[10511,2550.0]
[10610,299.25]
[10915,539.5]
[10918,1447.5]
[10973,291.55]
[10562,488.7]
[10833,906.9300000000001]
[10835,845.8]
[10937,644.8]
[11030,12615.05]
[10338,934.5]
[10396,1903.8000000000002]
[10505,147.89999999999998]
[10746,2311.7]
[10323,164.4]
[10737,139.8]
[10839,827.55]
[11036,1692.0]
[10283,1414.8000000000002]
[10364,950.0]
[10627,1185.75]
[10633,5510.592500000001]
[10667,1536.8]
[10249,1863.4]
[10854,2966.5]
[11011,933.5]
[10347,814.42]
[10434,321.12]
[10536,1645.0]
[10574,764.3]
[10643,814.5]
[10808,1411.0]
[10877,1955.125]
[11028,2160.0]
[10390,2090.88]
[10456,557.5999999999999]
[10569,890.0]
[10807,18.4]
[10829,1764.0]
[10847,4931.92]
[10907,108.5]
[10935,619.5]
[10268,1101.2]
[10374,459.0]
[10411,966.8]
[10501,149.0]
[10549,3554.275]
[10802,2942.8125]
[10899,122.39999999999999]
[11048,525.0]
[10260,1504.65]
[10507,749.0625]
[10550,683.3]
[10579,317.75]
[10838,1938.375]
[10963,57.8]
[11004,295.38]
[10423,1020.0]
[10458,3891.0]
[10582,330.0]
